Step,Element,Entropy,Max Depth,Assembly,Omega,Order
4,=[[]],1.584962500721156,2,3,18,3
5,[A]=[A][A],1.521928094887362,2,3,34,5
6,[[A]]=A,1.5,2,3,24,4
7,[A]=[A][A],1.5,2,3,24,4
8,[A][A]=[A],1.5,2,3,24,4
9,=[[]],1.4591479170272446,2,5,40,6
10,[A][A]=[A],1.5,2,3,24,4
11,[A][A]=[A],1.5,2,3,24,4
12,[A]=[A][A],1.5,2,3,24,4
13,[A][A]=[A],1.5,2,3,24,4
14,[A]=[A][A],1.5,2,3,24,4
15,[A][A]=[A],1.5,2,3,24,4
16,[A]=[A][A],1.5,2,3,24,4
17,[A][A]=[A],1.5,2,3,24,4
18,[A]=[A][A],1.5,2,3,24,4
19,[A]=[A][A],1.5,2,3,24,4
20,[A]=[A][A],1.5,2,3,24,4
26,[[A]]=A,1.5,2,3,24,4
27,=[[]],1.4591479170272446,2,5,40,6
28,[A]=[A][A],1.448815635725185,2,5,50,7
29,=[[]],1.3921472236645345,2,7,66,9
30,=[[]],1.3485878960124222,2,9,82,11
31,[A][A]=[A],1.3921472236645345,2,7,66,9
32,[A]=[A][A],1.3921472236645345,2,7,66,9
33,[A][A]=[A],1.448815635725185,2,5,50,7
34,[A][A]=[A],1.4591479170272446,2,5,40,6
35,[A]=[A][A],1.4591479170272446,2,5,40,6
36,=[[]],1.4056390622295665,2,7,56,8
37,[A]=[A][A],1.4056390622295665,2,7,56,8
38,[A][A]=[A],1.4591479170272446,2,5,40,6
39,[A]=[A][A],1.4591479170272446,2,5,40,6
66,[[A]]=A,1.280672129520887,2,11,86,12
67,=[[]],1.2638091738835462,2,13,102,14
68,=[[]],1.247556248918266,2,15,118,16
69,=[[]],1.2326602568158207,2,17,134,18
70,[[A]]=A,1.221047785179718,2,16,125,17
71,[A][A]=[A],1.247556248918266,2,15,118,16
100,[[A]]=A,1.234497796794641,2,19,152,20
101,[A]=[A][A],1.234497796794641,2,19,152,20
102,=[[]],1.2197484934607568,2,21,168,22
103,[A][A]=[A],1.234497796794641,2,19,152,20
117,[A][A]=[A],1.2309595631140104,2,14,109,15
118,[A]=[A][A],1.2309595631140104,2,14,109,15
119,[A][A]=[A],1.2638091738835462,2,13,102,14
120,[A]=[A][A],1.2638091738835462,2,13,102,14
205,[[A]]=A,1.1873868015167894,2,26,207,27
206,=[[]],1.1783577099564693,2,28,223,29
207,[A]=[A][A],1.1702295713931186,2,30,239,31
208,=[[]],1.1628720819225884,2,32,255,33
209,=[[]],1.1561787304889202,2,34,271,35
210,=[[]],1.1500617154483042,2,36,287,37
211,[[A]]=A,1.1501854804581977,2,35,278,36
